order_id,date_id,customer_id,product_id,region_id,ship_mode,sales,quantity,discount,profit,customer_name,segment,category,sub_category,product_name,country,state,city,region,year,month,month_name,quarter
ORD-100000,5/15/2023,CUST-0066,PROD-0008,2,Second Class,574.82,4,0.2,-32.95,Dhruv Menon,Corporate,Furniture,Chairs,Chairs Product 8,USA,Texas,Houston,West,2023,5,May,Q2
ORD-100001,5/17/2024,CUST-0055,PROD-0144,4,Same Day,1048.76,4,0.2,-50.35,Aadhya Singh,Corporate,Technology,Machines,Machines Product 4,USA,Washington,Seattle,East,2024,5,May,Q2
ORD-100002,4/21/2024,CUST-0570,PROD-0208,1,Second Class,71.52,7,0.15,0,Ishaan Chatterjee,Consumer,Office Supplies,Storage,Storage Product 8,USA,California,Los Angeles,West,2024,4,April,Q2
ORD-100003,7/24/2022,CUST-0319,PROD-0056,6,Standard Class,44.62,2,0.1,2.44,Aisha Dutta,Corporate,Furniture,Bookcases,Bookcases Product 16,USA,Illinois,Chicago,East,2022,7,July,Q3
ORD-100004,7/18/2021,CUST-0736,PROD-0217,6,First Class,412.13,1,0.15,0,Atharv Mehta,Consumer,Office Supplies,Storage,Storage Product 17,USA,Illinois,Chicago,East,2021,7,July,Q3
ORD-100005,7/30/2023,CUST-1099,PROD-0032,7,Standard Class,602.07,9,0.3,-67.63,Pooja Ghosh,Corporate,Furniture,Tables,Tables Product 12,USA,Ohio,Columbus,West,2023,7,July,Q3
ORD-100006,7/11/2024,CUST-1267,PROD-0227,6,Second Class,495.85,2,0.1,20.64,Vihaan Das,Corporate,Office Supplies,Art,Art Product 7,USA,Illinois,Chicago,East,2024,7,July,Q3
ORD-100007,9/16/2024,CUST-0467,PROD-0198,5,Standard Class,513.71,4,0,63.35,Aisha Sinha,Consumer,Office Supplies,Paper,Paper Product 18,USA,Florida,Miami,East,2024,9,September,Q3
ORD-100008,2/18/2023,CUST-0570,PROD-0117,6,Second Class,1011.73,6,0,122.09,Myra Saxena,Consumer,Technology,Accessories,Accessories Product 17,USA,Illinois,Chicago,East,2023,2,February,Q1
ORD-100009,3/6/2022,CUST-1373,PROD-0069,2,Second Class,1153.72,9,0.1,54.78,Shaurya Verma,Corporate,Furniture,Furnishings,Furnishings Product 9,USA,Texas,Houston,West,2022,3,March,Q1
ORD-100010,5/17/2022,CUST-0335,PROD-0119,7,First Class,1018.57,9,0.3,-164.59,Pooja Reddy,Home Office,Technology,Accessories,Accessories Product 19,USA,Ohio,Columbus,West,2022,5,May,Q2
ORD-100011,11/3/2024,CUST-0665,PROD-0216,1,Second Class,887.71,1,0.05,103.03,Dev Kulkarni,Corporate,Office Supplies,Storage,Storage Product 16,USA,California,Los Angeles,West,2024,11,November,Q4
ORD-100012,4/2/2023,CUST-0549,PROD-0017,4,First Class,615.72,4,0.1,31.59,Ishita Bansal,Consumer,Furniture,Chairs,Chairs Product 17,USA,Washington,Seattle,East,2023,4,April,Q2
